2020-11-13 15:22:06 INFO  eBanking:18 - Entered Username
2020-11-13 15:22:07 INFO  eBanking:20 - Entered Password
2020-11-13 15:23:14 INFO  eBanking:14 - Launch Banking App
2020-11-13 15:23:23 INFO  eBanking:18 - Entered Username
2020-11-13 15:23:23 INFO  eBanking:20 - Entered Password
2020-11-13 15:24:07 INFO  eBanking:14 - Launch Banking App
2020-11-13 15:24:14 INFO  eBanking:18 - Entered Username
2020-11-13 15:24:14 INFO  eBanking:20 - Entered Password
2020-11-13 15:25:11 INFO  eBanking:14 - Launch Banking App
2020-11-13 15:25:15 INFO  eBanking:18 - Entered Username
2020-11-13 15:25:15 INFO  eBanking:20 - Entered Password
2020-11-13 15:30:43 INFO  eBanking:14 - Launch Banking App
2020-11-13 15:31:02 INFO  eBanking:18 - Entered Username
2020-11-13 15:31:02 INFO  eBanking:20 - Entered Password
2020-11-13 15:49:59 INFO  eBanking:17 - Launch Banking App
2020-11-13 15:50:02 INFO  eBanking:21 - Entered Username
2020-11-13 15:50:04 INFO  eBanking:23 - Entered Password
2020-11-13 15:52:57 INFO  eBanking:17 - Launch Banking App
2020-11-13 15:53:05 INFO  eBanking:21 - Entered Username
2020-11-13 15:53:05 INFO  eBanking:23 - Entered Password
2020-11-13 15:55:35 INFO  eBanking:17 - Launch Banking App
2020-11-13 15:55:40 INFO  eBanking:21 - Entered Username
2020-11-13 15:55:40 INFO  eBanking:23 - Entered Password
2020-11-13 16:02:24 INFO  eBanking:17 - Launch Banking App
2020-11-13 16:02:47 INFO  eBanking:21 - Entered Username
2020-11-13 16:02:47 INFO  eBanking:23 - Entered Password
2020-11-13 16:11:07 INFO  eBanking:17 - Launch Banking App
2020-11-13 16:11:12 INFO  eBanking:21 - Entered Username
2020-11-13 16:11:12 INFO  eBanking:23 - Entered Password
2020-11-13 16:11:12 INFO  eBanking:33 - Taking Screenshots
2020-11-13 16:12:02 INFO  eBanking:17 - Launch Banking App
2020-11-13 16:12:06 INFO  eBanking:21 - Entered Username
2020-11-13 16:12:07 INFO  eBanking:23 - Entered Password
2020-11-13 16:13:41 INFO  eBanking:17 - Launch Banking App
2020-11-13 16:13:45 INFO  eBanking:21 - Entered Username
2020-11-13 16:13:45 INFO  eBanking:23 - Entered Password
2020-11-13 16:15:05 INFO  eBanking:17 - Launch Banking App
2020-11-13 16:15:12 INFO  eBanking:21 - Entered Username
2020-11-13 16:15:12 INFO  eBanking:23 - Entered Password
2020-11-13 16:15:13 INFO  eBanking:34 - Taking Screenshots
2020-11-13 16:17:55 INFO  eBanking:17 - Launch Banking App
2020-11-13 16:18:00 INFO  eBanking:21 - Entered Username
2020-11-13 16:18:00 INFO  eBanking:23 - Entered Password
2020-11-13 16:18:47 INFO  eBanking:17 - Launch Banking App
2020-11-13 16:18:50 INFO  eBanking:21 - Entered Username
2020-11-13 16:18:50 INFO  eBanking:23 - Entered Password
2020-11-13 16:22:26 INFO  eBanking:17 - Launch Banking App
2020-11-13 16:22:31 INFO  eBanking:21 - Entered Username
